"expc","educ","ypc","sexo"
94,"0",171549,"2"
191,"6",172307,"1"
45,"3",137002,"2"
258,"6",769933,"2"
114,"6",163882,"1"
1086,"5",260104,"2"
147,"3",269578,"2"
124,"5",249195,"1"
333,"5",250000,"1"
89,"5",264079,"2"
172,"1",118125,"2"
205,"11",918000,"2"
148,"0",361086,"1"
43,"0",183538,"2"
16,"5",194996,"1"
71,"1",154127,"2"
15,"8",512917,"1"
103,"3",197000,"1"
126,"3",321429,"1"
24,"1",140847,"1"
305,"8",985556,"2"
426,"9",405695,"2"
561,"0",344930,"1"
91,"1",90090,"1"
77,"9",293333,"2"
61,"11",219676,"2"
321,"5",122824,"1"
293,"0",556273,"1"
16,"6",433333,"2"
136,"9",208458,"1"
257,"3",149476,"1"
116,"5",181667,"2"
102,"1",144672,"1"
160,"1",241334,"1"
4,"3",72381,"2"
105,"0",63365,"2"
323,"1",122500,"1"
125,"9",202289,"1"
89,"3",223000,"2"
238,"3",76182,"1"
323,"7",133910,"2"
65,"1",131098,"1"
86,"1",228335,"1"
180,"5",520556,"2"
254,"1",184000,"2"
188,"2",87778,"2"
105,"6",433333,"1"
78,"6",251549,"2"
140,"0",125000,"2"
27,"3",174834,"1"
342,"9",276139,"1"
474,"5",269312,"1"
96,"7",435194,"1"
83,"3",570000,"2"
30,"9",159000,"2"
108,"6",537199,"1"
393,"9",423475,"2"
13,"1",267500,"1"
135,"0",1077362,"1"
42,"3",452565,"1"
47,"1",87500,"1"
174,"7",549123,"2"
326,"6",253056,"1"
188,"5",1955000,"1"
1413,"1",1098500,"1"
58,"3",201500,"2"
274,"7",394167,"2"
54,"1",189314,"2"
285,"1",213789,"1"
66,"6",297500,"1"
107,"9",111775,"2"
184,"8",596667,"2"
153,"12",950833,"1"
75,"1",78790,"2"
94,"9",754444,"2"
118,"2",299167,"1"
157,"1",224888,"2"
23,"3",160141,"2"
85,"9",402178,"2"
246,"5",167500,"2"
148,"1",103910,"1"
108,"11",4e+05,"2"
45,"0",88903,"1"
300,"12",1767500,"1"
214,"3",378333,"1"
